,day_sin,day_cos,month_sin,month_cos,dow_sin,dow_cos,is_weekend,hour_sin,hour_cos,load,temp
2025-10-31 00:00:00+01:00,-0.20129852008866114,0.9795299412524943,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0,-0.25881904510252157,0.9659258262890681,46984.5,10.96
2025-10-31 01:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0.0,1.0,45039.25,11.12
2025-10-31 02:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0.25881904510252074,0.9659258262890683,43467.0,10.65
2025-10-31 03:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0.49999999999999994,0.8660254037844387,41658.25,10.42
2025-10-31 04:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0.7071067811865475,0.7071067811865476,41287.75,10.33
2025-10-31 05:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0.8660254037844386,0.5000000000000001,43155.75,10.42
2025-10-31 06:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0.9659258262890683,0.25881904510252074,46826.5,10.59
2025-10-31 07:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,1.0,6.123233995736766e-17,50011.0,10.62
2025-10-31 08:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0.9659258262890683,-0.25881904510252063,51902.75,10.96
2025-10-31 09:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0.8660254037844387,-0.49999999999999983,52800.25,12.21
2025-10-31 10:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0.7071067811865476,-0.7071067811865475,52157.5,13.58
2025-10-31 11:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0.49999999999999994,-0.8660254037844387,52133.0,15.17
2025-10-31 12:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0.258819045102521,-0.9659258262890682,52813.75,16.53
2025-10-31 13:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,1.2246467991473532e-16,-1.0,51376.75,16.74
2025-10-31 14:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,-0.2588190451025208,-0.9659258262890683,49940.25,17.56
2025-10-31 15:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,-0.4999999999999998,-0.8660254037844388,48405.25,17.64
2025-10-31 16:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,-0.7071067811865471,-0.7071067811865479,47552.5,17.51
2025-10-31 17:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,-0.8660254037844384,-0.5000000000000004,48593.0,16.72
2025-10-31 18:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,-0.9659258262890683,-0.25881904510252063,51192.75,15.93
2025-10-31 19:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,-1.0,-1.8369701987210297e-16,51377.5,15.57
2025-10-31 20:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,-0.9659258262890684,0.2588190451025203,48687.0,15.26
2025-10-31 21:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,-0.8660254037844386,0.5000000000000001,46466.0,15.06
2025-10-31 22:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,-0.7071067811865477,0.7071067811865474,46837.75,15.01
2025-10-31 23:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,-0.5000000000000004,0.8660254037844384,46782.75,15.05
2025-11-01 00:00:00+01:00,-2.4492935982947064e-16,1.0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,-0.25881904510252157,0.9659258262890681,44695.25,14.94
2025-11-01 01:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0.0,1.0,42301.0,15.14
2025-11-01 02:00:00+01:00,0.20129852008866006,0.9795299412524945,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0.25881904510252074,0.9659258262890683,40202.0,15.06
